,Sex,District,Avg_score
0,female,27,77
1,female,9,68
2,male,1,81
3,male,16,90
4,female,32,85
5,male,31,91
6,female,10,80
7,female,22,74
8,male,23,70
9,male,28,88
10,female,26,82
11,female,11,75
12,male,26,82
13,male,18,81
14,female,12,80
15,female,7,85
16,male,26,74
17,male,31,79
18,male,11,86
19,male,30,76
20,male,16,83
21,female,29,71
22,male,30,82
23,female,25,83
24,female,9,76
25,female,13,75
26,male,28,82
27,female,12,76
28,female,22,76
29,female,18,74
30,male,3,75
31,female,6,64
32,female,12,86
33,male,2,76
34,male,8,79
35,female,7,72
36,male,4,70
37,female,8,79
38,male,5,67
39,female,4,76
40,male,22,71
41,male,11,94
42,male,17,86
43,female,25,85
44,female,32,94
45,female,13,85
46,female,17,84
47,female,15,78
48,female,29,80
49,female,1,74
50,male,22,84
51,male,32,77
52,female,3,87
53,female,24,84
54,male,12,86
55,female,3,73
56,female,30,77
57,female,3,69
58,female,19,74
59,female,16,85
60,female,24,94
61,male,6,84
62,female,31,84
63,female,31,85
64,male,8,73
65,female,30,81
66,female,23,76
67,female,8,79
68,female,5,91
69,female,13,83
70,male,8,97
71,male,11,82
72,male,28,71
73,female,16,92
74,male,16,78
75,female,21,79
76,male,9,90
77,female,8,75
78,female,29,89
79,female,28,83
80,male,32,86
81,female,20,81
82,male,1,77
83,male,25,79
84,female,21,82
85,male,26,89
86,male,25,83
87,female,23,88
88,female,32,81
89,male,11,73
90,male,4,81
91,male,21,71
92,female,8,75
93,female,24,78
94,female,15,88
95,female,14,71
96,male,9,88
97,male,11,79
98,male,25,88
99,female,32,66
100,female,23,74
101,male,23,73
102,male,17,70
103,male,1,75
104,female,32,77
105,male,19,90
106,male,9,72
107,male,17,75
108,female,23,81
109,male,3,79
110,male,31,75
111,female,18,87
112,female,25,87
113,female,23,78
114,male,11,80
115,female,19,77
116,female,4,74
117,female,22,95
118,female,25,79
119,male,31,80
120,female,2,79
121,male,29,73
122,male,2,74
123,female,16,76
124,female,20,84
125,male,14,82
126,female,5,73
127,male,19,88
128,female,23,85
129,female,15,77
130,male,27,70
131,female,6,75
132,female,17,69
133,male,6,83
134,male,16,81
135,male,23,83
136,male,20,82
137,female,5,66
138,male,26,90
139,male,9,76
140,male,5,85
141,male,24,72
142,male,29,85
143,female,26,68
144,female,30,75
145,female,31,81
146,female,20,84
147,female,20,76
148,female,13,83
149,male,27,70
150,male,20,87
151,male,3,92
152,male,25,70
153,male,5,70
154,male,19,84
155,female,19,81
156,male,28,77
157,male,20,77
158,female,23,69
159,female,30,78
160,male,8,73
161,female,20,83
162,female,7,76
163,female,24,71
164,male,25,78
165,female,1,86
166,male,29,91
167,female,14,84
168,female,2,85
169,male,18,78
170,female,15,75
171,female,21,80
172,female,2,75
173,male,18,78
174,male,28,76
175,female,6,83
176,male,15,82
177,male,28,81
178,female,14,73
179,female,1,86
180,male,1,90
181,male,22,73
182,female,10,73
183,female,2,67
184,female,5,83
185,male,29,77
186,female,2,76
187,female,26,75
188,female,7,82
189,female,21,84
190,male,21,94
191,female,11,83
192,female,26,74
193,female,25,76
194,male,7,67
195,male,16,65
196,male,24,77
197,male,15,70
198,male,27,85
199,female,24,83
200,female,24,84
201,male,21,77
202,male,30,82
203,female,31,76
204,female,22,79
205,female,25,87
206,male,26,69
207,male,4,83
208,male,15,84
209,male,27,82
210,female,22,94
211,male,9,73
212,male,26,87
213,male,27,64
214,male,32,77
215,male,31,70
216,female,1,86
217,male,19,89
218,male,28,77
219,male,6,77
220,female,13,88
221,male,14,75
222,female,18,84
223,male,26,62
224,male,11,86
225,female,5,75
226,male,18,70
227,male,6,77
228,male,18,78
229,male,27,83
230,male,13,81
231,male,13,78
232,female,22,79
233,male,13,78
234,male,32,79
235,female,22,78
236,female,24,82
237,female,21,70
238,female,28,85
239,male,5,71
240,female,16,78
241,female,5,82
242,female,1,92
243,male,2,63
244,male,25,77
245,female,2,94
246,female,8,73
247,male,8,78
248,male,14,65
249,female,18,75
250,female,27,77
251,female,23,83
252,female,19,82
253,female,32,76
254,male,1,94
255,male,4,74
256,female,7,74
257,female,17,82
258,female,11,75
259,female,20,88
260,male,13,78
261,female,30,85
262,male,8,92
263,female,28,81
264,female,27,77
265,female,15,67
266,male,21,74
267,male,29,79
268,female,20,81
269,female,24,86
270,male,5,94
271,male,3,84
272,female,28,74
273,female,27,84
274,male,7,85
275,female,2,85
276,male,2,83
277,male,14,73
278,female,10,85
279,female,3,73
280,female,18,85
281,male,25,66
282,female,1,87
283,male,5,75
284,male,3,77
285,male,26,86
286,female,19,82
287,female,17,66
288,male,16,74
289,female,8,70
290,female,21,80
291,male,27,68
292,male,11,85
293,female,12,85
294,male,31,81
295,female,2,83
296,female,5,77
297,male,15,79
298,male,7,80
299,female,2,74
300,female,9,74
301,female,6,75
302,female,10,78
303,female,27,72
304,female,10,81
305,female,11,67
306,female,17,81
307,male,32,81
308,male,21,83
309,male,32,89
310,female,2,83
311,male,11,82
312,female,3,71
313,female,18,67
314,female,11,72
315,male,23,84
316,male,28,80
317,male,27,76
318,female,23,67
319,male,13,82
320,female,15,70
321,female,5,87
322,female,31,79
323,female,6,74
324,female,19,81
325,female,1,78
326,male,17,87
327,female,1,68
328,female,6,76
329,male,5,76
330,female,22,81
331,male,23,87
332,male,7,81
333,female,20,90
334,female,12,81
335,male,6,67
336,male,32,87
337,female,31,74
338,female,16,79
339,female,24,71
340,female,26,83
341,female,27,79
342,female,21,91
343,male,22,75
344,female,22,85
345,male,30,77
346,female,31,85
347,male,10,73
348,male,31,70
349,female,10,87
350,female,17,85
351,male,5,88
352,female,2,81
353,male,18,90
354,male,22,70
355,female,28,78
356,female,19,86
357,female,15,73
358,female,3,82
359,female,3,69
360,male,13,82
361,male,31,84
362,female,3,87
363,male,13,85
364,male,23,83
365,female,24,78
366,male,22,71
367,male,6,74
368,male,10,80
369,female,6,73
370,female,6,71
371,male,21,78
372,male,9,74
373,female,11,67
374,male,11,68
375,male,9,85
376,male,10,81
377,female,24,78
378,male,26,73
379,male,31,76
380,male,2,67
381,male,23,78
382,male,4,81
383,female,26,79
384,female,31,80
385,female,17,86
386,male,10,73
387,male,29,68
388,male,26,83
389,female,6,84
390,male,16,78
391,female,2,77
392,male,22,84
393,female,2,82
394,male,16,73
395,female,15,90
396,male,3,82
397,male,25,84
398,female,19,72
399,female,9,90
400,female,25,89
401,male,8,83
402,female,21,77
403,male,24,90
404,female,4,76
405,male,3,92
406,female,23,85
407,male,17,67
408,male,26,71
409,male,1,81
410,female,13,78
411,male,32,87
412,female,22,70
413,male,29,86
414,male,7,80
415,female,22,83
416,male,5,82
417,male,26,83
418,female,23,79
419,male,25,83
420,male,22,84
421,female,29,77
422,male,10,89
423,male,18,78
424,female,29,75
425,male,12,89
426,female,7,76
427,female,19,73
428,male,32,85
429,male,10,73
430,male,13,66
431,male,4,78
432,male,2,90
433,male,14,87
434,male,1,64
435,female,23,85
436,female,3,84
437,male,4,79
438,female,31,81
439,male,4,95
440,female,3,80
441,female,23,73
442,female,22,73
443,female,6,94
444,female,1,94
445,female,16,77
446,female,13,87
447,female,17,79
448,male,10,70
449,female,4,81
450,male,27,68
451,male,14,77
452,male,13,83
453,male,29,78
454,female,19,83
455,female,26,75
456,male,22,78
457,male,6,82
458,male,4,71
459,female,23,76
460,female,18,84
461,female,20,76
462,female,29,70
463,female,29,69
464,male,16,67
465,female,8,70
466,male,14,82
467,female,29,89
468,male,9,79
469,male,22,82
470,male,32,76
471,male,12,77
472,female,24,73
473,male,6,70
474,male,23,78
475,female,28,71
476,female,11,84
477,female,17,84
478,male,3,92
479,male,8,77
480,male,18,78
481,female,31,81
482,female,19,85
483,female,15,75
484,female,4,76
485,female,15,69
486,male,14,84
487,female,16,81
488,male,7,81
489,female,26,84
490,male,26,92
491,female,14,74
492,female,25,85
493,male,28,78
494,female,1,91
495,male,25,74
496,male,16,79
497,male,30,74
498,male,8,82
499,female,21,87
500,female,15,83
501,female,32,77
502,male,13,79
503,male,5,85
504,female,3,72
505,female,2,85
506,female,20,83
507,male,6,72
508,male,32,69
509,male,11,66
510,male,4,74
511,female,16,87
512,male,27,72
513,male,3,73
514,female,25,76
515,male,31,77
516,female,20,85
517,female,13,76
518,male,27,82
519,female,29,67
520,female,2,72
521,female,12,81
522,male,20,80
523,male,26,87
524,male,10,87
525,male,5,94
526,female,12,79
527,male,31,66
528,female,26,74
529,male,13,72
530,female,16,84
531,female,31,74
532,male,16,94
533,male,12,82
534,female,26,79
535,female,17,75
536,female,15,77
537,female,19,69
538,male,22,76
539,female,11,81
540,female,4,84
541,female,30,81
542,male,4,76
543,male,25,74
544,male,11,89
545,male,16,81
546,male,21,74
547,female,29,79
548,male,19,90
549,female,28,74
550,male,18,81
551,male,13,82
552,female,22,80
553,male,14,77
554,male,19,74
555,male,30,80
556,female,22,90
557,female,1,83
558,male,1,83
559,female,22,81
560,female,6,76
561,male,28,75
562,male,28,78
563,male,2,80
564,male,1,67
565,male,12,77
566,male,31,94
567,female,6,82
568,female,27,80
569,female,16,70
570,female,4,69
571,female,10,90
572,female,8,87
573,male,8,73
574,male,6,78
575,female,26,85
576,male,6,85
577,male,11,69
578,male,8,84
579,male,14,74
580,male,6,86
581,male,10,81
582,male,30,95
583,male,18,73
584,female,28,82
585,male,32,80
586,female,26,88
587,male,24,76
588,female,31,82
589,female,10,74
590,male,20,90
591,male,14,68
592,female,6,85
593,male,21,75
594,male,21,91
595,female,5,71
596,female,8,76
597,male,26,86
598,male,32,73
599,male,32,73
600,male,25,75
601,female,8,79
602,male,16,84
603,male,1,83
604,female,2,72
605,male,5,85
606,female,11,77
607,female,26,81
608,female,19,86
609,male,27,72
610,female,15,82
611,female,26,83
612,male,17,74
613,female,14,71
614,male,22,71
615,male,7,64
616,female,24,83
617,female,31,72
618,male,19,84
619,female,26,84
620,female,22,84
621,female,31,85
622,female,13,67
623,male,28,74
624,male,13,79
625,female,28,84
626,female,4,86
627,male,16,86
628,female,8,70
629,male,32,78
630,female,9,83
631,male,3,84
632,female,13,80
633,female,12,70
634,male,19,74
635,female,3,79
636,female,31,81
637,male,9,84
638,female,1,73
639,male,4,75
640,female,16,75
641,male,22,70
642,female,8,84
643,female,25,82
644,male,4,80
645,male,2,75
646,female,9,80
647,male,23,81
648,male,21,89
649,female,19,82
650,female,7,68
651,male,30,83
652,male,10,80
653,male,4,86
654,male,19,78
655,female,10,76
656,male,8,87
657,female,24,87
658,female,20,70
659,male,10,76
660,male,22,93
661,male,26,79
662,female,4,81
663,male,10,68
664,male,24,82
665,male,22,77
666,male,13,81
667,male,3,80
668,male,4,84
669,male,12,82
670,male,2,74
671,male,14,84
672,female,20,76
673,female,29,80
